name,address,lat,lng,price_adult,open_hours,closed_days,phone
白山浴場,東京都文京区白山２−７−１,35.7157602,139.748458199999,550,１６：００−２３：００,月曜、最終火曜,03-3811-1052
ニコニコ湯,東京都足立区千住柳町２−１０,35.7528395,139.797328,550,１５：００−２４：００,木曜営業の場合あり,03-3882-6645
あづま浴泉,東京都江戸川区中央２−３４−２,35.7087625,139.875684099999,550,１４：００−２１：００（２０：３０最終入店）,水曜、第１・第３木曜、第２土曜,03-3654-0034
湯の楽代田橋温泉,東京都杉並区和泉１−１−４,35.672608,139.6597375,550,１５：００−２４：００日曜は１４：００から営業,木曜,03-3321-4938
丸正浴場,東京都世田谷区喜多見４−３６−１６,35.6324954,139.591847899999,550,１５：００−２２：００,水曜、第３火曜,03-3417-6804
銀座湯,東京都中央区銀座１−１２−２,35.6744,139.770200299999,550,１５：００−２３：００,日曜、祝日,03-3561-2550
鶴の湯,東京都台東区浅草橋５−２７−２,35.7012777,139.7834626,550,１５：３０−２４：００,土曜,03-3851-4569
堤柳泉,東京都台東区千束４−５−４,35.7236871,139.7974964,550,１３：００−２２：００日曜、祝日は１２：００から営業,月曜,03-3871-2395
富久の湯,東京都台東区千束２−３４−６,35.722601,139.790474799999,550,月曜１５：４５−２３：３０、火・水・金・土曜６：００−１０：００／１５：４５−２３：３０、木曜６：００−１０：００、日曜６：００−１０：００／１５：４５−２２：３０※最終受付は営業終了30分前,不定休,03-5656-3592
ふれあいの湯,東京都港区芝２−２−１８,35.6530576,139.752740899999,550,１５：００−２３：００、日・祝日は１４：００−２３：００,月曜※ただし、敬老の日は営業し、その翌日休業となります。,03-5442-2639
大勝湯,東京都荒川区南千住１−１９−４,35.7330223,139.790663099999,550,１０：００−２１：００,水曜,03-3806-0141
タイムリゾート,東京都荒川区町屋４−４−１,35.7457258,139.7771996,550,１５：００−２４：００,金曜,03-3819-7941
高砂湯,東京都墨田区立川４−１１−１２,35.6910819,139.8066552,550,１５：３０−２３：００,月曜、水曜,03-3631-3233
